pl_name,disc_year,x,y,z
Kepler-257 d,2014,248.62315273470867,-481.3686768068265,561.4892255862962
Kepler-258 b,2014,161.4614256972681,-361.4860849442562,418.3541496716384
Kepler-258 c,2014,161.4614256972681,-361.4860849442562,418.3541496716384
Kepler-259 b,2014,215.13755933789963,-653.8841395740761,728.3103337009588
Kepler-259 c,2014,215.13755933789963,-653.8841395740761,728.3103337009588
Kepler-26 b,2011,59.43591856215543,-222.73407723888127,243.490629532672
Kepler-26 c,2011,59.43591856215543,-222.73407723888127,243.490629532672
Kepler-26 d,2014,59.43591856215543,-222.73407723888127,243.490629532672
Kepler-26 e,2014,59.43591856215543,-222.73407723888127,243.490629532672
Kepler-260 b,2014,184.5665841072268,-458.5232435558889,386.3657003086287
Kepler-260 c,2014,184.5665841072268,-458.5232435558889,386.3657003086287
Kepler-261 b,2014,91.62962344276367,-234.23553655620395,193.7610397447448
Kepler-261 c,2014,91.62962344276367,-234.23553655620395,193.7610397447448
Kepler-262 b,2014,172.7367805316591,-456.4426260859596,371.1459340802622
Kepler-262 c,2014,172.7367805316591,-456.4426260859596,371.1459340802622
Kepler-263 b,2014,228.64405104568647,-552.8194912790777,460.1690363250869
Kepler-263 c,2014,228.64405104568647,-552.8194912790777,460.1690363250869
Kepler-264 b,2014,281.0137489221304,-693.9766630485983,571.9419778173851
Kepler-264 c,2014,281.0137489221304,-693.9766630485983,571.9419778173851
Kepler-265 b,2014,337.281653872639,-901.5980496356258,844.0391610311533
Kepler-265 c,2014,337.281653872639,-901.5980496356258,844.0391610311533
Kepler-265 d,2014,337.281653872639,-901.5980496356258,844.0391610311533
Kepler-265 e,2014,337.281653872639,-901.5980496356258,844.0391610311533
Kepler-266 b,2014,407.5178300513905,-894.8625923100869,955.0996718532978
Kepler-266 c,2014,407.5178300513905,-894.8625923100869,955.0996718532978
Kepler-267 b,2014,89.63369325737662,-156.31582791135335,194.2999048544046
Kepler-267 c,2014,89.63369325737662,-156.31582791135335,194.2999048544046
Kepler-267 d,2014,89.63369325737662,-156.31582791135335,194.2999048544046
Kepler-268 b,2014,251.01926478216689,-622.0396637981253,525.1080672301043
Kepler-268 c,2014,251.01926478216689,-622.0396637981253,525.1080672301043
Kepler-269 b,2014,581.6955239742558,-1579.7133903670906,1503.8715051769643
Kepler-269 c,2014,581.6955239742558,-1579.7133903670906,1503.8715051769643
Kepler-27 b,2011,297.88897324908305,-728.61799875634,686.3423206424859
Kepler-27 c,2011,297.88897324908305,-728.61799875634,686.3423206424859
Kepler-27 d,2021,297.88897324908305,-728.61799875634,686.3423206424859
Kepler-270 b,2014,143.19928745163602,-662.3161809252385,664.0908270100938
Kepler-270 c,2014,143.19928745163602,-662.3161809252385,664.0908270100938
Kepler-271 b,2014,65.16164146998459,-282.18020581318194,282.4579998728438
Kepler-271 c,2014,65.16164146998459,-282.18020581318194,282.4579998728438
Kepler-271 d,2016,65.16164146998459,-282.18020581318194,282.4579998728438
Kepler-272 b,2014,292.0216703805219,-524.066759063495,656.8711972197094
Kepler-272 c,2014,292.0216703805219,-524.066759063495,656.8711972197094
Kepler-272 d,2014,292.0216703805219,-524.066759063495,656.8711972197094
Kepler-273 b,2014,174.56926228115103,-447.6974617931157,528.0503277781546
Kepler-273 c,2014,174.56926228115103,-447.6974617931157,528.0503277781546
Kepler-274 b,2014,406.6403819757605,-961.5852814811976,829.7828936446768
Kepler-274 c,2014,406.6403819757605,-961.5852814811976,829.7828936446768
Kepler-275 b,2014,608.5928233491728,-1470.7466629839096,1266.7644181889457
Kepler-275 c,2014,608.5928233491728,-1470.7466629839096,1266.7644181889457
Kepler-275 d,2014,608.5928233491728,-1470.7466629839096,1266.7644181889457
Kepler-276 b,2014,355.56461971229413,-815.0881891833709,721.0474773984198
Kepler-276 c,2013,355.56461971229413,-815.0881891833709,721.0474773984198
Kepler-276 d,2013,355.56461971229413,-815.0881891833709,721.0474773984198
Kepler-277 b,2013,216.3856546518701,-726.6298774929035,615.6442309033115
Kepler-277 c,2013,216.3856546518701,-726.6298774929035,615.6442309033115
Kepler-278 b,2014,118.85884259270088,-324.6704093050982,277.01494862043734
Kepler-278 c,2014,118.85884259270088,-324.6704093050982,277.01494862043734
Kepler-279 b,2014,229.72344708694632,-733.4388932618918,696.7734837874232
